Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Calidad_Aire
42.6,94.6,17.9,30.1,44.3,4.0,1.91,Buena
33.7,72.7,139.4,159.9,33.1,22.8,2.28,Mala
29.0,64.0,8.6,21.6,26.6,8.1,1.53,Excelente
30.7,54.3,5.7,20.8,26.5,13.4,1.87,Excelente
37.3,90.7,33.6,43.8,35.6,19.6,2.45,Buena
33.4,70.5,7.5,15.2,24.1,8.6,1.49,Excelente
33.7,89.4,30.0,47.3,26.5,8.1,1.41,Buena
23.0,44.6,23.1,28.1,16.2,9.0,0.95,Buena
28.9,80.1,8.6,19.7,31.1,10.3,1.61,Excelente
33.5,97.1,10.5,24.1,26.8,16.5,2.13,Excelente
25.2,42.6,10.5,18.0,24.7,7.0,0.89,Excelente
30.2,79.7,21.1,25.3,30.6,6.5,1.63,Buena
35.6,74.6,64.2,76.2,43.9,17.4,2.61,Mala
32.4,64.3,58.1,74.1,14.2,9.7,1.41,Mala
35.0,80.5,43.6,55.1,27.9,11.3,1.65,Regular
37.3,98.6,68.4,85.3,37.5,16.9,2.34,Mala
29.3,78.5,14.8,19.2,29.3,-0.4,1.48,Buena
15.4,64.2,5.5,10.5,15.4,4.1,1.0,Excelente
31.0,57.1,22.1,27.2,35.5,8.1,1.54,Buena
29.5,83.3,4.7,22.7,35.9,14.7,2.97,Excelente
21.8,61.9,27.4,31.3,23.8,7.7,0.96,Buena
30.2,87.8,3.4,15.9,36.0,14.2,1.47,Excelente
28.0,65.1,3.5,5.2,18.7,7.9,0.9,Excelente
31.3,46.6,1.4,7.5,21.8,4.4,0.87,Excelente
22.8,83.4,28.2,42.9,42.6,9.8,1.71,Buena
25.9,55.8,21.4,29.3,23.4,9.6,1.17,Buena
36.2,87.2,2.4,17.5,50.9,31.5,3.04,Excelente
31.4,78.7,7.7,14.3,38.1,17.5,1.75,Excelente
34.4,86.3,28.4,50.6,34.5,42.3,2.28,Buena
23.2,57.5,17.8,26.2,11.0,2.9,1.19,Buena
30.5,89.7,117.0,138.7,40.6,33.9,2.22,Mala
24.0,53.4,5.3,10.8,34.8,15.9,1.16,Excelente
32.1,73.6,39.4,54.8,39.5,6.8,2.0,Desconocido
14.1,54.5,3.6,8.3,17.4,7.0,0.99,Excelente
27.6,52.0,48.9,53.6,28.7,5.1,1.65,Regular
21.5,72.6,4.5,9.5,22.4,4.7,0.98,Excelente
31.3,101.5,33.4,52.8,28.7,18.2,1.97,Buena
28.8,76.6,17.2,34.6,27.9,6.5,1.44,Buena
31.1,56.4,10.7,17.0,12.9,5.1,1.07,Excelente
28.0,55.4,3.0,15.1,22.8,21.8,1.76,Excelente
38.1,69.3,6.5,23.6,41.6,16.5,1.46,Excelente
41.5,91.3,79.5,93.5,30.0,12.8,1.99,Mala
33.1,99.2,17.6,47.1,41.1,26.4,2.45,Buena
28.2,89.5,44.9,53.9,29.1,12.1,1.29,Regular
33.6,81.2,20.2,30.3,30.2,10.6,1.24,Buena
32.5,53.4,45.9,52.7,27.2,10.8,1.21,Regular
24.5,65.2,8.3,14.3,15.0,5.4,1.0,Excelente
29.2,74.5,19.6,32.3,29.3,7.9,1.46,Buena
36.2,84.9,42.2,72.0,30.9,23.4,1.98,Regular
27.0,50.4,17.4,30.2,19.1,10.5,1.68,Buena
26.2,47.6,16.4,20.2,24.0,9.9,0.85,Buena
24.5,93.6,22.3,31.7,22.4,11.6,1.81,Buena
28.7,64.6,12.1,17.6,14.2,6.2,1.04,Buena
24.9,64.4,10.9,15.2,14.0,4.4,1.12,Excelente
38.3,99.0,8.2,27.2,24.9,13.9,2.69,Excelente
25.9,64.2,1.5,10.3,23.6,-0.4,0.93,Excelente
22.8,65.1,3.1,10.6,11.1,4.9,0.88,Excelente
32.5,75.1,24.9,36.0,25.8,6.3,1.69,Buena
25.1,59.5,6.0,11.3,25.8,0.7,0.9,Excelente
32.9,49.6,24.0,28.5,22.0,8.8,1.64,Buena
28.0,80.2,27.7,28.8,34.3,12.3,1.55,Buena
26.1,48.5,5.3,10.5,18.4,5.0,0.99,Excelente
28.0,90.3,35.4,58.2,41.2,7.9,2.06,Buena
37.8,79.1,63.0,85.1,52.6,20.1,2.6,Mala
31.6,102.7,80.5,96.9,35.0,1.7,2.0,Mala
30.4,63.8,12.2,22.1,31.3,15.5,1.7,Buena
25.5,38.3,3.6,8.8,19.1,6.6,1.05,Excelente
36.6,78.5,6.0,25.9,45.5,17.8,1.58,Excelente
29.8,60.2,10.7,19.8,24.9,12.4,2.0,Excelente
33.7,96.3,70.8,87.3,32.9,17.0,2.33,Mala
26.2,62.0,79.2,86.0,31.4,7.6,1.46,Mala
27.6,61.5,0.0,4.5,25.1,4.3,1.07,Excelente
30.8,60.3,1.1,3.6,21.2,5.1,0.96,Excelente
23.7,51.7,19.1,22.2,24.0,7.0,1.07,Buena
43.1,75.5,6.4,14.2,38.8,11.0,2.24,Excelente
29.1,61.2,12.1,18.5,17.5,5.1,2.03,Buena
28.4,48.0,11.1,17.7,15.1,7.6,1.06,Excelente
34.5,86.1,9.0,21.6,39.1,7.5,1.79,Excelente
20.4,52.8,11.7,16.7,24.4,2.3,1.05,Excelente
30.9,92.2,10.7,19.0,38.1,9.6,2.55,Excelente
23.4,54.7,10.2,12.8,11.4,4.5,1.13,Excelente
28.8,76.6,124.1,135.5,32.0,10.0,2.02,Mala
36.4,80.3,103.0,106.4,26.5,22.3,2.38,Mala
29.8,75.8,1.1,19.5,29.7,4.0,1.78,Excelente
24.2,55.9,8.4,10.9,17.2,7.2,0.96,Excelente
32.1,54.6,3.8,13.6,28.1,20.3,1.54,Excelente
31.6,97.6,85.9,101.9,45.0,25.8,1.82,Mala
23.3,42.6,7.4,10.6,23.7,5.2,1.14,Excelente
26.7,100.1,3.9,18.1,30.7,15.5,1.62,Excelente
31.3,100.3,7.0,26.4,30.4,20.2,2.19,Excelente
29.6,83.0,4.0,14.1,22.2,3.2,1.05,Excelente
25.3,83.3,33.9,44.0,35.9,9.1,1.41,Buena
26.4,60.3,6.5,13.2,21.8,5.1,0.88,Excelente
23.9,61.4,28.2,40.3,37.0,11.3,1.56,Buena
23.9,61.8,3.2,9.9,18.6,5.2,0.93,Excelente
32.5,71.3,11.8,30.9,26.1,23.5,2.16,Excelente
38.7,71.9,5.4,31.0,50.3,15.6,2.81,Excelente
32.4,83.3,2.3,18.4,30.9,15.1,1.54,Excelente
26.7,71.3,6.2,12.7,23.6,5.9,1.04,Excelente
50.9,79.9,22.5,52.0,38.2,9.0,2.65,Buena
34.7,88.9,8.9,16.1,33.3,8.5,1.19,Excelente
33.5,56.1,0.1,8.8,31.2,5.7,1.41,Excelente
26.0,54.9,16.6,22.4,21.3,7.0,1.02,Buena
28.2,68.1,7.2,9.1,20.8,4.7,1.07,Excelente
23.4,42.5,1.9,6.4,20.6,4.3,1.19,Excelente
25.6,52.6,1.9,3.6,13.5,6.2,1.07,Excelente
22.5,41.5,0.3,7.1,17.3,3.2,1.01,Excelente
33.5,75.7,2.3,18.1,29.4,10.1,1.45,Excelente
47.2,78.4,17.9,46.0,42.9,21.1,2.36,Buena
35.8,60.1,2.9,13.9,22.2,14.5,1.59,Excelente
29.5,72.7,9.3,25.0,21.2,9.7,1.59,Excelente
31.7,47.3,1.2,6.9,11.5,5.5,1.18,Excelente
21.5,73.3,1.8,8.5,18.6,8.3,0.94,Excelente
40.0,66.1,21.7,41.3,28.1,2.7,1.66,Buena
39.1,82.4,24.3,49.8,28.2,11.5,2.03,Buena
27.2,43.8,18.4,23.1,21.5,2.6,1.03,Buena
39.6,96.2,47.1,65.4,35.8,17.1,2.03,Regular
40.2,91.9,22.3,34.2,43.7,17.4,2.07,Buena
26.4,77.1,20.6,24.8,24.1,12.4,1.46,Buena
47.4,93.1,72.7,96.6,34.3,14.9,2.54,Mala
29.7,74.4,0.6,6.0,22.4,3.5,0.74,Excelente
25.2,63.2,8.9,19.6,41.7,9.9,2.14,Excelente
25.0,75.7,4.7,9.3,21.2,5.2,1.15,Excelente
30.8,67.6,6.0,15.4,29.2,6.0,1.42,Excelente
30.2,56.8,0.2,4.7,24.6,10.2,1.49,Excelente
21.5,74.6,0.3,8.1,15.9,6.3,1.02,Excelente
33.1,84.4,3.7,9.5,17.2,8.9,1.61,Excelente
24.1,47.5,22.8,26.0,26.5,4.1,0.91,Buena
35.4,84.6,34.1,42.9,23.9,9.4,1.63,Buena
25.8,76.6,8.6,16.5,22.4,6.2,0.99,Excelente
24.7,51.4,18.6,23.5,17.1,5.5,1.01,Buena
23.1,100.8,7.4,30.0,28.5,16.3,1.8,Excelente
54.6,90.7,48.9,62.9,30.1,11.5,2.74,Regular
35.9,87.0,26.4,34.1,29.2,17.2,1.33,Buena
30.5,75.1,21.5,34.0,25.6,7.6,1.21,Buena
32.0,48.8,0.7,15.8,16.9,8.6,1.65,Excelente
28.3,52.1,5.1,9.8,19.3,2.7,0.9,Excelente
31.2,75.9,57.6,80.4,38.9,28.6,2.15,Mala
27.5,55.1,3.8,14.9,20.3,5.2,1.38,Excelente
42.7,63.3,82.1,103.4,45.4,29.3,2.26,Mala
30.2,77.2,34.4,44.0,33.6,12.7,1.34,Buena
36.0,70.7,69.5,78.1,29.1,16.2,2.28,Mala
36.5,103.6,19.1,50.4,49.3,7.4,2.15,Buena
26.3,54.7,2.0,8.2,27.9,3.4,1.05,Excelente
53.1,70.2,60.3,81.9,32.2,16.0,2.28,Mala
26.5,52.8,1.2,10.0,26.5,3.4,0.91,Excelente
20.3,66.8,18.9,21.1,25.5,5.0,0.96,Buena
30.0,66.1,17.3,25.3,30.5,6.0,1.55,Buena
32.0,79.0,117.8,127.8,39.4,28.4,2.75,Mala
26.2,41.0,0.3,6.4,23.4,7.3,1.05,Excelente
24.6,46.5,5.9,13.0,14.2,6.7,0.96,Excelente
24.3,72.9,1.9,10.4,22.7,2.1,0.89,Excelente
22.7,70.9,15.8,19.6,17.4,5.6,0.99,Buena
23.8,57.9,21.9,27.3,21.9,4.3,1.02,Buena
24.3,69.1,60.1,76.5,21.4,9.2,1.44,Mala
32.7,94.8,7.8,15.2,34.1,9.8,1.63,Excelente
29.0,51.7,8.4,13.0,16.5,5.0,1.01,Excelente
27.7,69.1,13.6,19.1,21.6,4.6,1.07,Buena
24.6,64.6,17.1,20.3,20.5,6.7,0.9,Buena
21.9,77.4,21.1,27.8,21.1,4.5,1.03,Buena
23.7,75.4,8.4,15.0,24.2,2.6,1.01,Excelente
26.7,41.8,1.5,6.5,25.5,2.5,1.07,Excelente
32.8,81.0,13.6,22.2,35.2,7.3,1.31,Buena
28.9,109.5,3.6,21.7,62.1,13.5,2.35,Buena
29.7,80.8,7.3,14.8,30.4,7.2,1.73,Excelente
20.0,79.1,1.4,3.5,22.5,4.8,0.89,Excelente
32.9,66.9,5.2,8.6,30.6,14.0,1.47,Excelente
21.8,69.0,0.7,7.9,10.2,6.3,0.95,Excelente
20.5,58.3,1.8,6.7,14.6,4.8,0.78,Excelente
25.4,59.1,16.0,16.6,15.2,6.8,1.04,Buena
22.2,74.0,90.0,99.8,29.1,10.7,1.94,Mala
40.6,95.1,37.4,46.7,42.9,21.3,2.16,Regular
33.2,60.0,54.5,65.5,20.2,7.9,1.42,Regular
28.5,69.0,16.3,25.3,23.0,7.7,1.71,Buena
30.3,86.7,6.2,30.2,36.5,17.8,2.31,Excelente
34.9,96.2,48.5,66.5,29.0,15.2,2.4,Regular
28.0,76.6,24.8,35.9,28.1,13.4,1.53,Buena
27.0,92.6,9.9,20.1,24.3,11.1,1.19,Excelente
24.1,65.6,0.2,7.1,24.7,6.1,1.1,Excelente
34.0,63.3,3.0,23.6,28.6,14.2,2.07,Excelente
25.7,69.3,64.5,78.8,26.5,10.3,1.87,Mala
23.5,62.5,1.8,7.3,25.2,3.4,1.16,Excelente
22.1,50.4,4.0,11.5,14.3,9.7,0.95,Excelente
29.6,44.2,24.7,27.3,27.5,7.7,1.01,Buena
38.8,90.1,63.2,69.5,44.7,23.5,2.35,Mala
29.8,62.8,22.2,32.8,36.9,1.1,1.55,Buena
26.6,54.5,3.9,10.3,24.2,5.5,1.09,Excelente
35.5,84.7,9.4,20.0,25.3,14.9,1.55,Excelente
37.1,72.4,60.3,68.4,35.5,14.0,2.17,Mala
35.4,65.0,22.6,46.2,37.5,23.0,2.01,Buena
42.2,66.0,33.3,51.4,48.0,12.8,2.54,Buena
24.7,79.4,5.9,9.0,19.3,0.7,0.91,Excelente
28.7,63.6,4.2,10.2,20.8,3.2,0.92,Excelente
20.8,68.0,7.4,11.4,10.6,7.4,0.95,Excelente
21.7,45.4,19.9,25.3,22.8,3.9,0.78,Buena
34.4,85.0,31.7,53.6,50.5,35.4,2.5,Buena
19.4,70.6,8.2,14.2,21.1,0.4,0.99,Excelente
26.0,68.3,7.8,13.9,11.7,2.7,0.99,Excelente
50.3,97.4,17.5,38.7,46.5,32.9,2.49,Buena
20.5,80.0,1.0,3.2,23.6,2.8,0.91,Excelente
36.7,75.1,19.7,40.7,38.1,26.6,2.67,Buena
24.3,44.2,9.5,12.5,18.8,-0.2,0.83,Excelente
34.0,73.4,3.5,18.7,29.6,8.2,1.38,Excelente
37.0,93.9,17.0,34.1,33.3,11.4,1.86,Buena
29.2,60.6,1.7,16.0,32.7,13.3,1.91,Excelente
23.1,43.1,4.1,7.9,22.7,8.0,1.03,Excelente
19.6,55.5,0.1,3.9,18.9,5.3,1.1,Excelente
26.3,66.7,1.3,5.7,16.4,5.9,0.97,Excelente
24.0,56.9,2.9,6.9,13.0,8.2,1.14,Excelente
24.3,48.2,16.8,25.9,19.4,3.9,0.97,Buena
25.3,77.0,4.6,11.2,20.1,6.4,1.03,Excelente
27.8,78.1,1.1,19.8,26.7,10.7,1.28,Excelente
44.0,80.4,18.0,29.5,27.9,8.5,2.12,Buena
22.6,46.7,19.2,26.8,26.5,6.7,0.82,Buena
30.8,47.7,11.0,16.4,25.7,5.5,1.11,Excelente
22.5,68.9,3.9,8.4,12.8,4.8,1.08,Excelente
43.3,59.3,62.2,74.7,33.0,19.2,2.44,Mala
26.7,54.1,4.7,16.1,21.0,6.3,1.24,Excelente
27.3,67.7,2.4,9.2,24.6,7.6,1.13,Excelente
26.3,47.2,3.0,5.5,24.7,0.7,1.08,Excelente
38.1,61.3,8.5,27.1,21.9,13.0,1.61,Excelente
44.8,113.0,30.2,52.0,41.5,23.3,2.53,Buena
26.6,55.2,9.7,11.1,23.5,15.7,1.87,Excelente
35.7,49.1,18.1,26.5,29.1,13.4,2.24,Buena
30.6,72.5,7.3,12.3,28.1,10.0,1.68,Excelente
33.4,86.5,169.2,194.7,48.7,4.6,2.36,Muy Mala
27.8,74.4,13.2,22.2,22.8,6.5,1.69,Buena
30.7,76.4,18.3,31.9,27.6,11.6,1.54,Buena
23.5,67.6,0.2,4.3,24.5,6.4,1.19,Excelente
39.0,87.2,32.8,43.8,29.9,9.0,1.03,Buena
33.5,43.8,46.5,61.9,22.9,5.2,1.71,Regular
40.6,85.2,31.6,44.8,30.5,19.0,2.66,Buena
21.8,53.6,1.9,13.1,20.8,9.0,1.43,Excelente
27.4,64.6,21.8,37.7,22.3,5.6,1.45,Buena
31.3,65.1,26.0,33.8,27.3,22.0,2.01,Buena
29.9,86.8,33.4,41.3,20.6,8.3,1.46,Buena
30.6,93.2,5.5,9.5,28.7,15.3,1.41,Excelente
36.6,68.4,28.3,42.4,44.2,6.6,2.11,Buena
28.2,50.1,8.9,16.9,17.6,0.8,1.05,Excelente
42.1,87.0,83.5,97.7,42.5,5.3,2.18,Mala
25.6,49.2,1.5,5.8,10.9,3.8,1.04,Excelente
35.9,98.2,11.4,18.9,54.1,32.5,2.71,Buena
31.5,71.1,20.4,35.1,39.2,10.9,2.11,Buena
41.1,71.6,6.9,30.1,37.9,8.3,1.8,Excelente
25.6,66.5,8.5,14.5,12.9,3.7,0.94,Excelente
24.9,47.8,3.3,7.8,17.1,6.7,1.05,Excelente
24.8,58.3,13.8,19.1,14.5,9.5,1.0,Buena
27.6,73.0,9.8,18.7,29.8,19.9,1.62,Excelente
32.4,80.4,36.4,52.2,36.8,21.1,1.76,Regular
34.4,72.7,26.3,39.6,29.3,14.9,1.51,Buena
27.8,49.2,9.9,14.9,23.8,7.4,1.04,Excelente
41.7,93.9,8.3,22.4,36.1,22.3,2.06,Excelente
30.2,61.0,21.4,31.3,18.7,7.4,1.48,Buena
27.1,51.4,33.1,36.6,12.1,8.4,1.03,Buena
40.3,89.3,193.1,212.6,39.0,18.2,2.32,Muy Mala
24.4,77.3,19.6,24.8,41.2,17.6,1.85,Buena
28.9,56.2,30.9,40.8,23.7,9.1,1.63,Buena
26.6,38.3,9.7,14.7,20.3,5.2,1.07,Excelente
24.4,48.1,14.8,19.8,24.5,4.3,0.87,Buena
27.4,44.7,12.7,22.1,22.0,8.7,1.18,Buena
32.8,90.8,3.6,15.0,33.4,25.2,1.6,Excelente
36.6,49.9,2.0,14.5,30.5,9.1,1.29,Excelente
35.7,73.1,2.8,7.9,26.9,14.5,1.77,Excelente
31.0,76.0,64.6,88.8,43.9,4.1,2.35,Mala
36.7,81.2,17.3,37.3,32.9,17.5,1.9,Buena
24.2,55.2,11.6,28.8,24.8,9.9,1.5,Excelente
29.6,53.4,2.6,9.9,22.2,4.6,1.09,Excelente
33.0,56.9,17.9,20.6,33.1,7.0,1.84,Buena
20.9,69.9,0.4,6.7,23.2,4.4,0.87,Excelente
25.7,42.0,10.0,17.4,22.7,7.2,1.16,Excelente
30.0,87.5,33.8,43.1,28.7,12.2,1.63,Buena
23.7,73.8,3.1,4.2,11.1,4.1,0.97,Excelente
21.2,64.0,0.8,7.1,15.7,4.7,0.87,Excelente
23.1,43.9,5.9,8.1,20.4,5.4,1.06,Excelente
21.7,53.2,10.9,15.2,25.4,6.7,1.02,Excelente
23.5,46.1,2.8,8.1,24.4,6.4,1.09,Excelente
39.2,73.7,23.5,44.1,43.7,15.4,2.49,Buena
