PM10,"PM2,5",NO2,O3,HUMEDAD,LLUVIA,TEMPERATURA,VEL.VIENTO,DIR. VIENTO,ICA_PM2.5,ICA_PM10,ICA_NO2,ICA_O3,Calidad_Aire
15.291999999999998,5.996,10.842039999999995,22.48126,80.524,0.0,20.968,1.5559999999999998,292.024,Buena,Buena,Buena,Buena,Buena
17.032,6.972,12.84448,18.12164,84.624,0.0399999999999999,20.54,2.124,263.56800000000004,Buena,Buena,Buena,Buena,Buena
22.884,8.080000000000002,20.98052,7.42682,84.264,0.0,20.556000000000004,2.192,270.67600000000004,Buena,Buena,Buena,Buena,Buena
34.06400000000001,11.44,34.564640000000004,8.99,80.072,0.0,21.591999999999995,2.424,238.288,Buena,Buena,Buena,Buena,Buena
37.75599999999999,12.204,47.66168,7.81,68.768,0.0,23.928,1.7920000000000005,289.976,Regular,Buena,Buena,Buena,Regular
33.06,10.84,25.5266,41.84,60.728,0.0,25.288,1.656,290.56,Buena,Buena,Buena,Buena,Buena
24.044,7.343999999999999,9.34472,67.0942,50.212,0.0,27.928000000000004,1.924,277.576,Buena,Buena,Buena,Regular,Regular
18.276,6.0120000000000005,8.442720000000001,79.45000000000002,41.720000000000006,0.0,29.9,1.784,293.50800000000004,Buena,Buena,Buena,Mala,Mala
21.864,7.724000000000001,8.983920000000001,91.31,41.536,0.0,30.660000000000004,1.6360000000000003,299.784,Buena,Buena,Buena,Mala,Mala
21.256,7.848000000000001,11.202840000000002,67.13,49.70399999999999,0.0,29.672000000000004,1.7760000000000002,293.808,Buena,Buena,Buena,Regular,Regular
19.176,7.228,10.589479999999998,60.81,53.948,0.0,29.084,1.6920000000000002,282.58399999999995,Buena,Buena,Buena,Regular,Regular
20.344,8.34,11.83424,69.96000000000001,52.368,0.0,29.152000000000005,1.4520000000000002,295.328,Buena,Buena,Buena,Regular,Regular
21.096,8.996,14.10728,70.28,51.904,0.0,29.336,1.7880000000000005,294.272,Buena,Buena,Buena,Mala,Mala
22.888,9.788,12.73624,71.64000000000001,55.83200000000001,0.0,28.492,1.516,296.65599999999995,Buena,Buena,Buena,Mala,Mala
24.64,10.424,17.96784,52.79,64.84,0.0,26.820000000000004,2.56,305.84000000000003,Buena,Buena,Buena,Buena,Buena
28.696,11.612,41.97908,33.89,71.84,0.0,25.6,2.24,310.28000000000003,Buena,Buena,Buena,Buena,Buena
28.704,13.568,29.47736,32.45,74.05999999999999,0.0,25.1,2.0,310.43999999999994,Regular,Buena,Buena,Buena,Regular
28.488,13.596,31.64216,37.59,77.5,0.0,24.62,1.9000000000000004,268.08000000000004,Regular,Buena,Buena,Buena,Regular
22.428,9.452,32.52612,31.26,80.06,0.0,24.14,1.92,270.88,Buena,Buena,Buena,Buena,Buena
22.788,9.675999999999998,22.49588,29.040000000000003,81.20000000000002,0.0,23.82,1.88,275.06,Buena,Buena,Buena,Buena,Buena
23.868,10.472,37.5232,20.22,78.74000000000001,0.0,23.64,1.6800000000000002,280.7,Buena,Buena,Buena,Buena,Buena
21.356,9.664,36.18824,19.34,79.97999999999999,0.0,23.020000000000003,1.8200000000000005,279.73999999999995,Buena,Buena,Buena,Buena,Buena
21.12,10.028,32.90496,14.57,81.0,0.0,22.9,1.56,278.8,Buena,Buena,Buena,Buena,Buena
14.456,7.912000000000001,18.47296,34.888859999999994,83.10000000000001,0.3,21.840000000000003,1.4,216.98,Buena,Buena,Buena,Buena,Buena
11.036,5.108,9.34472,29.13,88.04,0.52,20.82,1.34,285.58,Buena,Buena,Buena,Buena,Buena
11.128,5.303999999999999,16.07364,30.07,89.03999999999999,0.68,20.56,1.16,281.46000000000004,Buena,Buena,Buena,Buena,Buena
11.78,5.912000000000001,18.1302,27.8,91.18,0.24,20.380000000000003,1.512,220.34,Buena,Buena,Buena,Buena,Buena
17.772000000000002,8.048,32.562200000000004,7.279999999999999,89.47999999999999,0.04,20.6,1.5320000000000005,241.32,Buena,Buena,Buena,Buena,Buena
17.988,8.752,22.44176,19.4,89.32000000000001,0.2,20.48,1.2399999999999998,237.22,Buena,Buena,Buena,Buena,Buena
22.892000000000003,10.231999999999998,34.78112,11.73,87.22,0.32,21.24,1.5,242.38,Buena,Buena,Buena,Buena,Buena
22.559999999999995,10.88,45.04588,28.360000000000003,73.28,0.0,23.940000000000005,1.6,231.66,Buena,Buena,Buena,Buena,Buena
20.832,9.291999999999998,19.880080000000003,59.510000000000005,59.92,0.0,26.68,1.5599999999999998,233.96000000000004,Buena,Buena,Buena,Regular,Regular
18.268,7.431999999999999,11.22088,72.77,50.040000000000006,0.0,29.04,1.36,239.36,Buena,Buena,Buena,Mala,Mala
16.732,6.723999999999999,10.67968,65.70816,54.67999999999999,0.0,28.9,1.16,234.34,Buena,Buena,Buena,Regular,Regular
15.512,5.884,10.625559999999998,59.99,59.220000000000006,0.0,27.98,1.3199999999999998,230.58,Buena,Buena,Buena,Regular,Regular
15.032,5.824,10.914199999999996,61.33999999999999,58.17999999999999,0.0,28.08,1.22,225.78000000000003,Buena,Buena,Buena,Regular,Regular
18.768,6.348,10.373,58.48,58.85999999999999,0.0,27.78,1.1800000000000002,213.16,Buena,Buena,Buena,Regular,Regular
19.528,6.660000000000001,18.61728,49.72816,61.84,0.0,27.12,1.116,211.86,Buena,Buena,Buena,Buena,Buena
18.724,6.628,20.45736,33.262,69.53999999999999,0.0,25.4,1.468,200.8,Buena,Buena,Buena,Buena,Buena
21.468,8.139999999999999,38.407160000000005,23.61,76.0,0.0,24.18,1.6040000000000003,200.6,Buena,Buena,Buena,Buena,Buena
21.568000000000005,8.208000000000002,30.126800000000003,26.02974,79.8,0.0,23.54,1.392,190.0,Buena,Buena,Buena,Buena,Buena
20.452,8.264,36.02588,19.4353,80.35999999999999,0.0,23.3,1.156,193.66,Buena,Buena,Buena,Buena,Buena
22.62,8.9,39.38132,13.19,80.75999999999999,0.0,22.98,1.5319999999999998,191.06,Buena,Buena,Buena,Buena,Buena
26.28,10.723999999999998,44.03564,10.77,81.47999999999999,0.0,22.92,1.48,199.46,Buena,Buena,Buena,Buena,Buena
27.42,10.876,32.14728,9.7,84.26,0.0,22.700000000000003,1.44,197.02,Buena,Buena,Buena,Buena,Buena
28.6,11.652,37.27063999999999,7.41,82.86,0.0,22.9,1.276,206.62,Buena,Buena,Buena,Buena,Buena
25.456,10.452000000000002,34.56464,6.360000000000001,81.74000000000001,0.0,22.86,1.22,204.6,Buena,Buena,Buena,Buena,Buena
24.028,11.068,16.45248,10.53,84.58000000000001,0.0,22.02,0.7639999999999999,238.62000000000003,Buena,Buena,Buena,Buena,Buena
25.335999999999995,12.028,29.72992,14.17,82.14000000000001,0.0,21.92,1.036,172.07999999999998,Regular,Buena,Buena,Buena,Regular
26.892000000000003,12.603999999999996,16.56072,7.232899999999999,82.61999999999999,0.0,21.84,0.892,147.0,Regular,Buena,Buena,Buena,Regular
26.708,11.124,14.77476,4.55492,81.7,0.0,21.62,1.124,145.2,Buena,Buena,Buena,Buena,Buena
34.74400000000001,11.684,18.61728,8.86012,79.11999999999999,0.0,21.82,1.0,138.02,Buena,Buena,Buena,Buena,Buena
25.968,9.768,23.0912,6.9949200000000005,74.35999999999999,0.0,23.2,1.512,151.2,Buena,Buena,Buena,Buena,Buena
33.432,11.856,20.33108,13.11,72.53999999999999,0.0,23.86,1.2399999999999998,134.2,Buena,Buena,Buena,Buena,Buena
31.784,12.716,14.991239999999998,38.94,64.12,0.0,25.880000000000003,0.94,120.86,Regular,Buena,Buena,Buena,Regular
24.74,10.160000000000002,13.42176,50.64,58.46,0.0,27.28,0.92,133.88000000000002,Buena,Buena,Buena,Buena,Buena
19.34,7.38,10.6436,52.1,56.4,0.0,27.94,0.9520000000000002,128.8,Buena,Buena,Buena,Buena,Buena
16.86,6.780000000000001,15.29792,49.21,53.32000000000001,0.0,28.28,1.336,103.28000000000002,Buena,Buena,Buena,Buena,Buena
16.339999999999996,6.44,24.805,50.83,52.74,0.0,28.52,1.1679999999999997,127.44,Buena,Buena,Buena,Buena,Buena
19.360000000000003,7.18,15.18968,63.400000000000006,53.36,0.0,28.78,1.3960000000000004,128.64,Buena,Buena,Buena,Regular,Regular
16.82,6.5,14.48612,57.15,57.28000000000001,0.0,28.12,1.356,124.6,Buena,Buena,Buena,Regular,Regular
19.6,6.08,11.85228,52.10000000000001,59.580000000000005,0.0,27.46,1.188,165.44,Buena,Buena,Buena,Buena,Buena
18.32,6.460000000000001,19.5734,44.0,67.24,0.0,25.72,1.14,177.16,Buena,Buena,Buena,Buena,Buena
18.42,6.56,34.366200000000006,34.95,74.41999999999999,0.0,24.26,1.0719999999999998,168.3,Buena,Buena,Buena,Buena,Buena
17.159999999999997,7.2,40.139,33.6,77.18,0.0,23.66,0.792,171.16000000000005,Buena,Buena,Buena,Buena,Buena
18.4,7.540000000000001,54.9318,23.950000000000003,79.64,0.3,23.28,0.744,195.54,Buena,Buena,Regular,Buena,Regular
19.32,8.76,49.3394,13.75,84.55999999999999,0.54,22.58,1.0519999999999998,133.22,Buena,Buena,Buena,Buena,Buena
18.56,8.679999999999998,45.2804,9.35,86.46,0.4199999999999999,22.12,0.8960000000000001,201.0,Buena,Buena,Buena,Buena,Buena
14.7,7.08,41.7626,8.05,86.36000000000001,0.0,21.74,1.42,175.3,Buena,Buena,Buena,Buena,Buena
17.94,8.5,33.374,6.63,87.08000000000001,0.3399999999999999,21.66,0.996,171.82,Buena,Buena,Buena,Buena,Buena
10.1,4.319999999999999,11.58168,45.95,89.9,3.62,20.7,1.56,194.28000000000003,Buena,Buena,Buena,Buena,Buena
9.42,3.6,15.9654,31.75,89.72,0.08,20.36,0.908,154.6,Buena,Buena,Buena,Buena,Buena
12.38,4.959999999999999,18.491,24.1,91.1,0.02,20.380000000000003,1.08,132.16,Buena,Buena,Buena,Buena,Buena
12.54,6.08,13.079,29.950000000000003,91.0,0.0,20.28,0.74,156.52000000000004,Buena,Buena,Buena,Buena,Buena
13.920000000000002,6.34,29.4954,21.35,90.74,0.06,20.48,1.152,204.44,Buena,Buena,Buena,Buena,Buena
14.62,5.94,38.4252,10.2,89.14,0.02,20.88,1.148,159.7,Buena,Buena,Buena,Buena,Buena
21.74,9.54,42.39399999999999,12.95,87.63999999999999,0.0,21.380000000000003,0.9200000000000002,210.24,Buena,Buena,Buena,Buena,Buena
25.9,11.400000000000002,49.7002,14.6,86.34,0.04,21.800000000000004,0.632,218.94,Buena,Buena,Buena,Buena,Buena
17.7,7.68,40.7704,35.05,82.02,0.06,22.58,0.92,220.68,Buena,Buena,Buena,Buena,Buena
16.619999999999997,5.48,34.3662,51.25,74.0,0.02,23.74,0.68,213.76000000000005,Buena,Buena,Buena,Buena,Buena
13.6,4.82,35.3584,44.7,76.0,0.04,23.58,0.788,224.06,Buena,Buena,Buena,Buena,Buena
17.359999999999996,6.540000000000001,36.80160000000001,48.2,75.16000000000001,0.04,24.04,0.736,216.68,Buena,Buena,Buena,Buena,Buena
17.84,6.0600000000000005,30.217,49.650000000000006,68.94,0.0,25.02,0.6839999999999999,230.73999999999995,Buena,Buena,Buena,Buena,Buena
14.0,4.94,26.2482,45.7,65.97999999999999,0.0,25.44,0.756,237.42,Buena,Buena,Buena,Buena,Buena
12.88,4.199999999999999,19.80792,46.05,64.32000000000001,0.0,26.12,0.932,194.7,Buena,Buena,Buena,Buena,Buena
12.28,3.92,27.36668,35.05,69.03999999999999,0.0,25.16,0.844,225.0,Buena,Buena,Buena,Buena,Buena
12.14,4.38,26.0678,25.35,74.86,0.0,23.76,0.932,228.92,Buena,Buena,Buena,Buena,Buena
13.9,4.86,38.1546,17.8,79.36,0.0,22.9,0.992,254.4,Buena,Buena,Buena,Buena,Buena
14.46,5.4,42.9352,15.2,80.24,0.0,22.62,1.112,222.16,Buena,Buena,Buena,Buena,Buena
14.56,5.92,35.7192,16.9,80.08000000000001,0.0,22.42,0.936,237.14,Buena,Buena,Buena,Buena,Buena
12.46,5.42,45.0098,8.350000000000001,82.96,0.18,21.880000000000003,0.7040000000000001,161.96,Buena,Buena,Buena,Buena,Buena
14.82,6.6,38.786,4.05,89.58,0.1399999999999999,21.18,0.94,177.20000000000002,Buena,Buena,Buena,Buena,Buena
15.66,6.82,28.2326,13.53,90.58,0.0,20.92,1.172,188.3,Buena,Buena,Buena,Buena,Buena
14.68,6.139999999999999,20.114600000000003,7.9,91.20000000000002,0.0,20.78,1.2400000000000002,203.92,Buena,Buena,Buena,Buena,Buena
15.06,5.659999999999999,24.2638,8.2,89.88000000000001,0.0,20.7,1.3160000000000005,181.68,Buena,Buena,Buena,Buena,Buena
15.1,6.080000000000001,17.7694,5.43,91.04,0.0,20.64,1.1,195.68,Buena,Buena,Buena,Buena,Buena
18.44,7.74,25.8874,3.7,90.76,0.0,20.46,1.34,229.0,Buena,Buena,Buena,Buena,Buena
21.28,8.38,17.047800000000002,1.99,91.58,0.0,20.24,1.5399999999999998,236.88,Buena,Buena,Buena,Buena,Buena
21.92,9.28,18.491,1.66,91.04,0.0,20.02,1.5799999999999998,265.14,Buena,Buena,Buena,Buena,Buena
19.94,7.88,16.9576,6.25,86.6,0.0,20.56,1.9,229.73999999999995,Buena,Buena,Buena,Buena,Buena
19.340000000000003,7.859999999999999,15.8752,13.0,74.29999999999998,0.02,23.020000000000003,2.04,246.36,Buena,Buena,Buena,Buena,Buena
17.880000000000003,8.059999999999999,19.4832,31.25,66.47999999999999,0.0,24.6,1.82,235.36,Buena,Buena,Buena,Buena,Buena
16.46,7.26,8.4788,55.6,57.67999999999999,0.04,26.7,1.9200000000000004,238.38,Buena,Buena,Buena,Regular,Regular
14.46,6.08,4.8708,69.15,52.04,0.0,28.14,2.04,267.56000000000006,Buena,Buena,Buena,Regular,Regular
14.579999999999998,6.1,9.2906,55.7,57.8,0.0,27.32,1.84,283.82,Buena,Buena,Buena,Regular,Regular
14.2,5.720000000000001,7.216,48.55,59.34000000000001,0.0,27.399999999999995,1.88,294.68,Buena,Buena,Buena,Buena,Buena
12.920000000000002,5.64,4.4198,46.900000000000006,58.92,0.0,27.58,2.04,244.38,Buena,Buena,Buena,Buena,Buena
11.84,5.839999999999999,7.0356,51.2,58.82000000000001,0.0,27.4,2.04,216.22,Buena,Buena,Buena,Buena,Buena
10.4,4.42,5.7728,51.85,56.38,0.0,27.940000000000005,2.14,296.28,Buena,Buena,Buena,Buena,Buena
11.219999999999995,4.32,9.8318,43.45,62.44,0.0,26.540000000000003,2.2,283.82000000000005,Buena,Buena,Buena,Buena,Buena
10.84,4.4,13.2594,39.6,69.31999999999998,0.0,25.44,2.62,279.38,Buena,Buena,Buena,Buena,Buena
12.499999999999998,4.9,20.2048,32.900000000000006,75.06,0.0,24.42,2.66,307.76000000000005,Buena,Buena,Buena,Buena,Buena
12.46,5.040000000000001,32.021,24.700000000000003,78.5,0.0,23.96,3.14,297.28000000000003,Buena,Buena,Buena,Buena,Buena
13.88,5.34,29.8562,24.3,80.94,0.0,23.559999999999995,3.22,290.88,Buena,Buena,Buena,Buena,Buena
13.239999999999998,5.08,17.4086,27.950000000000003,82.44000000000001,0.0,23.36,3.46,299.8,Buena,Buena,Buena,Buena,Buena
11.32,4.6,18.5812,23.5,83.76,0.0,23.1,3.1,299.23999999999995,Buena,Buena,Buena,Buena,Buena
12.0,4.62,10.5534,24.25,82.82,0.0,22.82,3.3,296.4,Buena,Buena,Buena,Buena,Buena
10.62,3.7599999999999993,0.9922,36.6,82.58000000000001,0.0,22.08,3.12,290.12,Buena,Buena,Buena,Buena,Buena
9.28,3.44,0.0,31.55,81.82,0.0,21.96,3.24,299.58000000000004,Buena,Buena,Buena,Buena,Buena
12.239999999999998,4.6,0.3608,16.0,82.14,0.0,22.040000000000006,3.04,307.84,Buena,Buena,Buena,Buena,Buena
14.96,5.68,10.9142,3.75,85.28,0.0,21.96,3.3,313.52,Buena,Buena,Buena,Buena,Buena
15.779999999999998,5.74,21.1068,0.25,88.67999999999999,0.0,21.62,3.0,308.0,Buena,Buena,Buena,Buena,Buena
16.94,5.9,21.0166,5.05,87.6,0.0,21.520000000000003,3.04,302.84,Buena,Buena,Buena,Buena,Buena
22.06,6.58,17.047800000000002,1.55,81.18,0.0,22.54,2.64,299.04,Buena,Buena,Buena,Buena,Buena
19.22,6.0600000000000005,22.099,14.4,69.25999999999999,0.0,24.84,2.68,250.52000000000004,Buena,Buena,Buena,Buena,Buena
18.6,5.900000000000001,29.2248,33.35,59.78,0.0,27.0,2.68,256.52000000000004,Buena,Buena,Buena,Buena,Buena
17.68,6.140000000000001,18.6714,58.8,51.86,0.0,28.860000000000003,2.6,257.38,Buena,Buena,Buena,Regular,Regular
17.48,6.24,3.157,71.9,46.38,0.0,30.32,2.42,264.5,Buena,Buena,Buena,Mala,Mala
28.4,6.580000000000001,8.7494,62.35,57.17999999999999,0.0,28.64,2.36,247.78000000000003,Buena,Buena,Buena,Regular,Regular
13.580000000000002,5.1000000000000005,4.6002,53.1,58.98,0.0,28.1,2.22,257.76000000000005,Buena,Buena,Buena,Buena,Buena
12.84,5.32,3.7884,52.95,56.14,0.0,28.52,2.3,258.5,Buena,Buena,Buena,Buena,Buena
17.0,6.24,13.7104,46.1,59.38,0.0,27.879999999999995,2.64,256.94,Buena,Buena,Buena,Buena,Buena
18.92,6.959999999999999,18.942,45.55,64.32000000000001,0.0,26.860000000000003,2.34,261.64,Buena,Buena,Buena,Buena,Buena
23.380000000000003,8.040000000000001,33.1936,35.0,68.9,0.0,25.98,2.06,255.62000000000003,Buena,Buena,Buena,Buena,Buena
26.368,9.588,55.7436,20.45,71.96000000000001,0.0,25.340000000000003,2.48,249.54,Buena,Buena,Regular,Buena,Regular
24.64,9.46,68.8226,8.85,75.84,0.0,24.680000000000003,2.2,266.98,Buena,Buena,Regular,Buena,Regular
24.84,9.14,64.6734,3.5,75.68,0.0,24.48,2.24,275.62,Buena,Buena,Regular,Buena,Regular
22.84,8.3,52.6768,7.99,75.66,0.0,24.22,1.7399999999999998,273.18,Buena,Buena,Buena,Buena,Buena
25.84,8.16,40.7704,9.8,76.64,0.0,23.68,1.7799999999999998,280.16,Buena,Buena,Buena,Buena,Buena
24.46,8.08,20.5656,14.45,76.0,0.0,23.380000000000003,1.48,214.12000000000003,Buena,Buena,Buena,Buena,Buena
25.42,9.22,29.766,4.699999999999999,77.92,0.0,23.06,1.4,230.46,Buena,Buena,Buena,Buena,Buena
24.72,8.639999999999999,29.766,6.01,79.3,0.0,22.640000000000004,1.4599999999999995,246.76,Buena,Buena,Buena,Buena,Buena
24.74,9.04,22.6402,7.8,79.56,0.0,22.22,1.6800000000000002,223.14,Buena,Buena,Buena,Buena,Buena
20.7,8.02,20.2048,6.4,78.5,0.0,22.14,1.2600000000000002,205.86,Buena,Buena,Buena,Buena,Buena
16.18,6.62,9.6514,27.4,82.08,0.3600000000000001,21.680000000000003,1.0799999999999998,239.22,Buena,Buena,Buena,Buena,Buena
13.94,5.16,11.3652,34.2,85.03999999999999,0.0,21.020000000000003,0.948,210.78000000000003,Buena,Buena,Buena,Buena,Buena
15.299999999999995,5.62,27.7816,21.5,86.16,0.0,20.76,1.132,179.0,Buena,Buena,Buena,Buena,Buena
20.86,7.640000000000001,57.3672,13.62,85.86,0.02,20.74,1.06,246.36,Buena,Buena,Regular,Buena,Regular
30.34,9.94,67.199,7.95,81.72,0.0,21.66,0.916,234.48,Buena,Buena,Regular,Buena,Regular
33.98,11.4,48.8884,22.55,73.08000000000001,0.0,23.28,0.9399999999999998,287.86,Buena,Buena,Buena,Buena,Buena
33.080000000000005,10.54,31.6602,43.64999999999999,64.12,0.0,25.24,1.2799999999999998,156.4,Buena,Buena,Buena,Buena,Buena
15.160000000000002,4.66,22.7304,64.55000000000001,58.720000000000006,0.0,26.0,1.38,276.04,Buena,Buena,Buena,Regular,Regular
14.62,4.260000000000001,15.5144,66.55,59.08,0.0,26.36,1.7600000000000002,285.96000000000004,Buena,Buena,Buena,Regular,Regular
13.84,4.24,15.694800000000004,71.25,57.28000000000001,0.0,26.940000000000005,1.5599999999999998,295.4599999999999,Buena,Buena,Buena,Mala,Mala
11.9,3.76,7.4866,64.05000000000001,58.9,0.0,26.499999999999996,1.7400000000000002,247.96,Buena,Buena,Buena,Regular,Regular
13.06,4.08,11.0044,60.75,60.08,0.0,25.8,1.88,236.38,Buena,Buena,Buena,Regular,Regular
13.24,3.86,14.7026,53.85000000000001,61.16,0.0,25.68,1.94,229.6,Buena,Buena,Buena,Buena,Buena
14.16,4.06,17.047800000000002,52.15,61.54,0.0,25.56,1.82,231.54,Buena,Buena,Buena,Buena,Buena
15.640000000000004,4.44,28.5032,42.0,67.62,0.0,24.32,1.9,233.04,Buena,Buena,Buena,Buena,Buena
21.08,5.4,67.8304,24.4,71.02000000000001,0.0,23.46,1.7720000000000002,282.46,Buena,Buena,Regular,Buena,Regular
25.86,7.5,81.45060000000001,11.2,72.06000000000002,0.0,23.18,1.944,260.44,Buena,Buena,Regular,Buena,Regular
