Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,ICA_PM10,ICA_PM2.5,ICA_NO2,Calidad_Aire
26.2,49.9,0.5,2.0,22.9,2.3,0.94,1.8518518518518519,2.0833333333333335,21.60377358490566,Excelente
22.6,62.1,16.4,21.3,17.6,4.8,0.93,19.72222222222222,60.042918454935624,16.60377358490566,Buena
30.0,69.2,2.0,3.9,15.3,5.2,1.09,3.611111111111111,8.333333333333334,14.433962264150944,Excelente
37.6,72.2,10.1,16.6,32.2,6.3,1.85,15.370370370370372,42.083333333333336,30.377358490566042,Excelente
29.6,65.6,3.4,9.3,20.6,2.9,1.03,8.611111111111112,14.166666666666668,19.433962264150946,Excelente
52.5,83.9,67.5,91.2,31.6,34.6,2.31,68.91717171717173,157.19599578503687,29.811320754716984,Mala
44.7,97.9,34.6,57.3,28.1,22.6,1.78,52.13838383838384,98.3175965665236,26.509433962264154,Buena
23.3,45.2,24.0,29.0,26.6,5.3,0.96,26.85185185185185,76.02575107296138,25.09433962264151,Buena
35.4,100.2,20.5,33.2,34.4,11.7,1.85,30.740740740740744,68.66523605150215,32.45283018867924,Buena
29.7,85.8,84.4,94.4,26.7,19.8,1.55,70.50101010101011,165.92202318229715,25.18867924528302,Mala
21.8,79.6,7.1,16.8,14.5,6.0,0.91,15.555555555555557,29.583333333333336,13.679245283018869,Excelente
27.7,86.1,83.3,93.5,25.3,6.8,1.71,70.05555555555556,165.3540569020021,23.867924528301888,Mala
27.5,78.9,30.2,34.1,15.3,3.0,0.98,31.574074074074076,89.06437768240343,14.433962264150944,Buena
28.0,72.2,18.5,25.0,24.9,6.1,1.32,23.14814814814815,64.45922746781116,23.49056603773585,Buena
22.2,50.0,2.3,8.4,23.5,3.7,0.96,7.777777777777779,9.583333333333334,22.169811320754718,Excelente
33.3,70.1,55.1,72.7,40.5,30.7,2.12,59.760606060606065,149.26130653266333,38.20754716981132,Regular
37.5,83.7,3.1,2.2,39.5,29.2,2.61,2.037037037037037,12.916666666666668,37.264150943396224,Excelente
30.9,94.4,48.3,67.1,31.4,23.3,1.75,56.98888888888889,132.5175879396985,29.62264150943396,Regular
39.3,78.9,68.9,85.2,43.7,13.0,1.7,65.94747474747476,157.91886195995787,41.22641509433963,Mala
24.7,64.9,17.3,37.0,27.2,14.9,1.48,34.25925925925926,61.93562231759657,25.660377358490567,Buena
27.8,62.8,8.7,13.2,29.7,15.8,1.4,12.222222222222221,36.25,28.0188679245283,Excelente
17.4,56.5,2.6,6.9,21.0,3.5,0.92,6.388888888888889,10.833333333333334,19.81132075471698,Excelente
18.1,70.1,3.1,8.1,19.7,5.8,1.18,7.5,12.916666666666668,18.58490566037736,Excelente
25.6,78.1,1.1,5.2,21.3,6.1,0.89,4.814814814814815,4.583333333333334,20.09433962264151,Excelente
22.4,69.3,2.2,8.4,19.6,3.0,0.92,7.777777777777779,9.166666666666668,18.49056603773585,Excelente
25.3,47.4,70.7,84.8,22.4,8.2,1.59,65.74949494949495,158.84826132771337,21.132075471698112,Mala
42.1,89.8,12.1,35.3,41.4,30.4,2.67,32.68518518518518,51.0,39.056603773584904,Buena
27.5,45.3,2.8,10.1,13.7,4.1,0.82,9.351851851851851,11.666666666666666,12.924528301886792,Excelente
32.6,65.1,4.1,19.3,28.0,14.5,1.45,17.87037037037037,17.083333333333332,26.41509433962264,Excelente
46.1,100.3,144.0,169.8,42.5,16.1,2.3,108.32525252525254,196.695468914647,40.09433962264151,Mala
33.5,81.2,23.4,56.5,34.2,27.2,1.95,51.74242424242424,74.76394849785407,32.26415094339623,Buena
48.1,94.1,4.2,19.0,23.7,6.0,1.57,17.59259259259259,17.500000000000004,22.358490566037734,Excelente
31.6,76.7,21.4,26.9,30.1,17.4,1.29,24.907407407407405,70.55793991416309,28.39622641509434,Buena
29.0,83.5,31.5,44.4,27.0,-2.8,1.49,41.11111111111111,91.79828326180258,25.471698113207548,Buena
24.9,82.2,19.5,27.9,25.6,2.0,1.54,25.833333333333332,66.56223175965665,24.150943396226417,Buena
27.7,99.4,17.8,29.9,37.5,9.9,1.74,27.685185185185183,62.987124463519315,35.37735849056604,Buena
20.8,48.5,16.0,19.7,11.2,2.5,1.17,18.24074074074074,59.201716738197426,10.566037735849056,Buena
28.2,71.7,75.2,90.0,30.8,5.0,1.81,68.32323232323233,161.17175974710221,29.056603773584907,Mala
32.0,69.7,95.7,110.4,36.1,20.5,2.3,78.42020202020203,171.75658587987357,34.05660377358491,Mala
21.5,60.0,14.6,20.6,20.9,1.6,0.94,19.074074074074076,56.257510729613735,19.71698113207547,Buena
29.6,63.1,12.8,15.9,22.0,3.8,1.16,14.722222222222223,52.472103004291846,20.754716981132077,Buena
17.5,73.8,3.3,8.8,16.2,8.4,0.83,8.148148148148149,13.75,15.283018867924527,Excelente
33.2,49.8,1.4,23.3,23.0,25.8,2.06,21.574074074074076,5.833333333333333,21.69811320754717,Excelente
58.6,66.0,44.0,54.0,44.3,22.7,3.09,50.0,121.92964824120602,41.79245283018868,Regular
28.1,51.8,36.0,40.3,26.4,5.4,1.15,37.31481481481481,102.23115577889448,24.90566037735849,Regular
32.0,74.9,43.3,45.5,28.8,9.5,1.42,42.12962962962963,120.20603015075376,27.169811320754718,Regular
25.0,63.9,9.3,10.8,15.8,4.6,0.92,10.0,38.75000000000001,14.905660377358492,Excelente
25.7,69.3,15.7,25.0,27.7,10.6,1.44,23.14814814814815,58.57081545064378,26.132075471698112,Buena
35.1,69.2,7.9,30.3,35.3,27.6,2.07,28.055555555555557,32.91666666666667,33.30188679245283,Excelente
26.7,63.2,6.8,9.3,13.4,4.9,0.98,8.611111111111112,28.333333333333336,12.641509433962264,Excelente
20.4,44.9,4.6,9.2,20.5,5.7,1.03,8.518518518518517,19.166666666666668,19.339622641509433,Excelente
24.6,84.2,5.2,19.2,22.5,9.0,1.48,17.77777777777778,21.666666666666668,21.22641509433962,Excelente
25.9,62.8,25.8,35.6,31.2,19.0,1.48,32.96296296296296,79.81115879828327,29.433962264150942,Buena
22.1,54.0,10.6,15.4,13.9,8.9,1.0,14.25925925925926,44.16666666666667,13.113207547169813,Excelente
34.1,97.9,54.0,76.8,31.6,16.4,2.15,61.78989898989899,146.55276381909547,29.811320754716984,Regular
24.9,63.5,6.1,13.9,17.2,4.3,1.18,12.87037037037037,25.416666666666668,16.22641509433962,Excelente
28.0,55.2,12.4,21.2,27.7,3.7,0.99,19.62962962962963,51.63090128755365,26.132075471698112,Buena
26.7,53.9,2.9,6.4,11.1,6.6,0.96,5.9259259259259265,12.083333333333334,10.471698113207546,Excelente
30.4,101.1,28.6,42.6,39.9,4.0,2.2,39.44444444444444,85.69957081545064,37.64150943396226,Buena
41.4,65.4,34.3,52.8,42.7,9.4,1.87,48.888888888888886,97.68669527896995,40.28301886792453,Buena
25.5,73.4,13.8,21.4,25.7,3.8,0.95,19.814814814814813,54.57510729613734,24.245283018867923,Buena
28.2,49.6,17.0,21.7,19.7,11.3,0.99,20.09259259259259,61.30472103004292,18.58490566037736,Buena
36.6,75.5,32.2,41.3,32.1,9.4,1.95,38.24074074074074,93.27038626609442,30.28301886792453,Buena
18.8,77.7,11.0,15.8,20.0,5.6,1.09,14.62962962962963,45.833333333333336,18.867924528301888,Excelente
26.3,77.5,23.1,29.5,15.1,3.7,0.92,27.314814814814817,74.13304721030043,14.245283018867925,Buena
34.9,96.9,11.4,30.2,36.5,20.3,1.89,27.962962962962962,47.50000000000001,34.43396226415094,Excelente
23.0,50.7,1.1,5.0,24.8,2.1,1.12,4.62962962962963,4.583333333333334,23.39622641509434,Excelente
22.3,78.8,19.3,26.0,26.1,5.5,0.82,24.074074074074073,66.14163090128756,24.622641509433965,Buena
21.4,76.9,2.3,6.7,23.4,2.8,1.09,6.203703703703704,9.583333333333334,22.075471698113205,Excelente
44.7,75.6,6.6,28.3,25.7,23.5,2.1,26.203703703703706,27.5,24.245283018867923,Excelente
22.4,73.0,12.2,15.0,26.6,3.6,0.97,13.88888888888889,51.21030042918455,25.09433962264151,Buena
32.3,82.0,8.8,18.7,29.8,14.7,2.03,17.314814814814813,36.66666666666667,28.11320754716981,Excelente
33.5,70.8,8.1,16.3,22.0,15.9,1.63,15.092592592592593,33.75,20.754716981132077,Excelente
33.1,52.0,7.2,15.9,38.9,12.1,1.46,14.722222222222223,30.000000000000004,36.698113207547166,Excelente
25.5,48.0,15.5,19.9,18.6,7.7,1.04,18.425925925925924,58.15021459227468,17.547169811320757,Buena
29.9,77.8,1.5,23.4,43.8,20.0,1.89,21.666666666666664,6.25,41.32075471698113,Excelente
29.3,67.5,1.9,5.0,12.1,4.5,1.12,4.62962962962963,7.916666666666667,11.415094339622641,Excelente
23.9,73.9,25.9,28.5,21.5,3.1,1.45,26.38888888888889,80.02145922746782,20.28301886792453,Buena
23.7,40.0,20.7,23.0,20.4,6.2,1.05,21.296296296296298,69.08583690987125,19.245283018867923,Buena
21.9,70.1,5.4,10.4,13.5,1.1,1.09,9.62962962962963,22.500000000000004,12.735849056603774,Excelente
44.9,105.8,24.5,47.4,39.9,26.7,2.36,43.888888888888886,77.07725321888412,37.64150943396226,Buena
27.0,45.5,6.2,13.0,24.3,5.0,1.01,12.037037037037036,25.833333333333336,22.924528301886795,Excelente
49.6,87.5,81.9,87.0,40.4,18.4,2.14,66.83838383838383,164.63119072708113,38.11320754716981,Mala
33.4,78.5,101.6,109.9,19.3,9.2,1.32,78.17272727272727,174.80295047418335,18.20754716981132,Mala
23.5,51.6,0.0,8.3,23.5,7.4,0.92,7.685185185185186,0.0,22.169811320754718,Excelente
22.2,75.7,19.0,20.7,20.1,5.3,1.03,19.166666666666668,65.5107296137339,18.962264150943398,Buena
35.4,51.9,48.4,53.0,21.0,10.4,1.53,49.074074074074076,132.7638190954774,19.81132075471698,Regular
41.5,68.2,3.4,15.4,24.5,6.4,1.38,14.25925925925926,14.166666666666668,23.11320754716981,Excelente
21.0,60.5,4.6,8.9,15.1,6.8,0.93,8.24074074074074,19.166666666666668,14.245283018867925,Excelente
31.3,73.7,20.3,30.7,31.5,12.5,1.76,28.425925925925924,68.24463519313305,29.71698113207547,Buena
46.8,91.6,240.1,261.5,40.3,37.6,2.46,154.2171717171717,289.7927927927928,38.0188679245283,Muy Mala
23.9,66.7,14.3,16.9,21.8,7.8,1.07,15.648148148148147,55.62660944206009,20.566037735849058,Buena
24.6,45.1,0.4,6.4,21.2,1.7,0.94,5.9259259259259265,1.666666666666667,20.0,Excelente
24.1,59.3,14.4,33.1,31.0,16.7,2.0,30.64814814814815,55.836909871244636,29.245283018867926,Buena
41.4,82.2,73.6,89.8,35.1,13.3,2.84,68.22424242424242,160.34562697576396,33.113207547169814,Mala
22.5,73.0,0.2,6.2,15.0,5.5,0.95,5.740740740740741,0.8333333333333335,14.150943396226415,Excelente
26.7,57.9,50.0,59.6,26.3,9.4,1.68,53.276767676767676,136.7035175879397,24.81132075471698,Regular
24.6,51.3,3.9,8.0,21.7,5.9,0.98,7.407407407407407,16.25,20.471698113207548,Excelente
32.0,70.7,8.4,11.3,24.5,6.1,1.6,10.462962962962964,35.00000000000001,23.11320754716981,Excelente
29.5,77.2,27.9,44.4,26.3,23.1,1.68,41.11111111111111,84.2274678111588,24.81132075471698,Buena
32.5,68.3,33.2,40.1,29.0,9.5,1.52,37.12962962962963,95.37339055793993,27.358490566037737,Buena
33.0,56.8,1.9,5.0,36.1,7.6,1.75,4.62962962962963,7.916666666666667,34.05660377358491,Excelente
30.1,86.8,7.3,22.4,27.9,6.0,1.29,20.74074074074074,30.416666666666668,26.32075471698113,Excelente
22.3,75.4,0.7,4.7,23.7,7.3,0.93,4.351851851851852,2.9166666666666665,22.358490566037734,Excelente
27.4,81.5,18.9,30.4,22.6,12.8,1.55,28.148148148148145,65.30042918454936,21.320754716981135,Buena
28.3,40.6,2.3,6.9,25.3,4.0,0.88,6.388888888888889,9.583333333333334,23.867924528301888,Excelente
30.8,68.9,2.0,11.5,23.6,13.0,1.46,10.648148148148149,8.333333333333334,22.264150943396228,Excelente
27.7,78.7,1.1,20.5,28.2,9.8,1.53,18.98148148148148,4.583333333333334,26.60377358490566,Excelente
33.3,82.6,1.2,5.6,30.1,5.9,1.32,5.185185185185185,5.0,28.39622641509434,Excelente
22.9,66.9,7.8,16.3,21.8,8.1,1.07,15.092592592592593,32.5,20.566037735849058,Excelente
29.6,78.9,9.3,19.0,31.3,11.2,1.74,17.59259259259259,38.75000000000001,29.528301886792455,Excelente
28.0,83.9,20.9,37.3,21.3,11.1,1.56,34.53703703703704,69.50643776824035,20.09433962264151,Buena
33.4,85.5,11.7,31.7,41.7,12.4,2.03,29.35185185185185,48.75,39.339622641509436,Excelente
22.9,40.5,3.7,7.3,13.4,0.9,1.12,6.7592592592592595,15.416666666666668,12.641509433962264,Excelente
23.1,59.7,13.3,25.3,22.9,14.1,1.3,23.425925925925927,53.52360515021459,21.60377358490566,Buena
36.2,77.1,35.3,43.9,20.4,14.4,1.38,40.648148148148145,99.78969957081546,19.245283018867923,Buena
27.6,75.9,20.3,25.9,26.6,4.9,1.11,23.98148148148148,68.24463519313305,25.09433962264151,Buena
32.8,60.4,1.6,12.8,28.1,5.7,1.36,11.851851851851853,6.666666666666668,26.509433962264154,Excelente
21.6,71.5,1.3,6.5,23.8,4.8,0.89,6.018518518518518,5.416666666666667,22.452830188679247,Excelente
31.4,81.8,4.3,17.5,21.8,12.8,1.47,16.203703703703702,17.916666666666668,20.566037735849058,Excelente
27.4,63.0,11.0,21.1,23.2,9.6,1.27,19.537037037037038,45.833333333333336,21.88679245283019,Excelente
24.2,64.4,1.1,7.2,11.7,8.6,1.08,6.666666666666667,4.583333333333334,11.037735849056602,Excelente
47.3,88.4,104.9,127.4,44.6,21.7,2.71,86.83434343434344,176.5068493150685,42.07547169811321,Mala
40.0,88.7,29.3,46.0,45.1,20.7,2.03,42.592592592592595,87.1716738197425,42.54716981132076,Buena
29.2,72.1,25.5,32.3,13.3,5.7,1.08,29.907407407407405,79.18025751072962,12.547169811320755,Buena
20.1,41.7,3.6,8.2,23.2,9.1,0.97,7.592592592592592,15.000000000000002,21.88679245283019,Excelente
42.6,94.6,17.9,30.1,44.3,4.0,1.91,27.87037037037037,63.197424892703864,41.79245283018868,Buena
33.7,72.7,139.4,159.9,33.1,22.8,2.28,103.42525252525253,194.32033719704953,31.226415094339625,Mala
29.0,64.0,8.6,21.6,26.6,8.1,1.53,20.0,35.833333333333336,25.09433962264151,Excelente
30.7,54.3,5.7,20.8,26.5,13.4,1.87,19.25925925925926,23.750000000000004,25.0,Excelente
37.3,90.7,33.6,43.8,35.6,19.6,2.45,40.55555555555555,96.21459227467813,33.58490566037736,Buena
33.4,70.5,7.5,15.2,24.1,8.6,1.49,14.074074074074073,31.250000000000004,22.735849056603776,Excelente
33.7,89.4,30.0,47.3,26.5,8.1,1.41,43.79629629629629,88.64377682403435,25.0,Buena
23.0,44.6,23.1,28.1,16.2,9.0,0.95,26.01851851851852,74.13304721030043,15.283018867924527,Buena
28.9,80.1,8.6,19.7,31.1,10.3,1.61,18.24074074074074,35.833333333333336,29.339622641509436,Excelente
33.5,97.1,10.5,24.1,26.8,16.5,2.13,22.314814814814817,43.75,25.28301886792453,Excelente
25.2,42.6,10.5,18.0,24.7,7.0,0.89,16.666666666666668,43.75,23.30188679245283,Excelente
30.2,79.7,21.1,25.3,30.6,6.5,1.63,23.425925925925927,69.92703862660944,28.867924528301888,Buena
35.6,74.6,64.2,76.2,43.9,17.4,2.61,61.4929292929293,155.49209694415174,41.41509433962264,Mala
32.4,64.3,58.1,74.1,14.2,9.7,1.41,60.45353535353535,152.34246575342465,13.39622641509434,Mala
35.0,80.5,43.6,55.1,27.9,11.3,1.65,51.04949494949495,120.94472361809045,26.32075471698113,Regular
37.3,98.6,68.4,85.3,37.5,16.9,2.34,65.9969696969697,157.66069546891464,35.37735849056604,Mala
29.3,78.5,14.8,19.2,29.3,-0.4,1.48,17.77777777777778,56.67811158798283,27.641509433962266,Buena
15.4,64.2,5.5,10.5,15.4,4.1,1.0,9.722222222222221,22.916666666666668,14.528301886792454,Excelente
31.0,57.1,22.1,27.2,35.5,8.1,1.54,25.185185185185183,72.03004291845494,33.49056603773585,Buena
29.5,83.3,4.7,22.7,35.9,14.7,2.97,21.01851851851852,19.583333333333336,33.867924528301884,Excelente
21.8,61.9,27.4,31.3,23.8,7.7,0.96,28.98148148148148,83.17596566523605,22.452830188679247,Buena
30.2,87.8,3.4,15.9,36.0,14.2,1.47,14.722222222222223,14.166666666666668,33.9622641509434,Excelente
28.0,65.1,3.5,5.2,18.7,7.9,0.9,4.814814814814815,14.583333333333334,17.641509433962263,Excelente
31.3,46.6,1.4,7.5,21.8,4.4,0.87,6.944444444444445,5.833333333333333,20.566037735849058,Excelente
22.8,83.4,28.2,42.9,42.6,9.8,1.71,39.72222222222222,84.85836909871244,40.18867924528302,Buena
25.9,55.8,21.4,29.3,23.4,9.6,1.17,27.12962962962963,70.55793991416309,22.075471698113205,Buena
36.2,87.2,2.4,17.5,50.9,31.5,3.04,16.203703703703702,10.0,48.0188679245283,Excelente
31.4,78.7,7.7,14.3,38.1,17.5,1.75,13.240740740740742,32.083333333333336,35.943396226415096,Excelente
34.4,86.3,28.4,50.6,34.5,42.3,2.28,46.851851851851855,85.27896995708154,32.54716981132076,Buena
23.2,57.5,17.8,26.2,11.0,2.9,1.19,24.25925925925926,62.987124463519315,10.377358490566039,Buena
30.5,89.7,117.0,138.7,40.6,33.9,2.22,92.42727272727272,182.754478398314,38.301886792452834,Mala
24.0,53.4,5.3,10.8,34.8,15.9,1.16,10.0,22.083333333333336,32.83018867924528,Excelente
32.1,73.6,39.4,54.8,39.5,6.8,2.0,,110.60301507537689,37.264150943396224,Desconocido
14.1,54.5,3.6,8.3,17.4,7.0,0.99,7.685185185185186,15.000000000000002,16.41509433962264,Excelente
27.6,52.0,48.9,53.6,28.7,5.1,1.65,49.62962962962963,133.99497487437185,27.07547169811321,Regular
21.5,72.6,4.5,9.5,22.4,4.7,0.98,8.796296296296296,18.75,21.132075471698112,Excelente
31.3,101.5,33.4,52.8,28.7,18.2,1.97,48.888888888888886,95.79399141630901,27.07547169811321,Buena
28.8,76.6,17.2,34.6,27.9,6.5,1.44,32.03703703703704,61.72532188841202,26.32075471698113,Buena
31.1,56.4,10.7,17.0,12.9,5.1,1.07,15.74074074074074,44.583333333333336,12.169811320754718,Excelente
28.0,55.4,3.0,15.1,22.8,21.8,1.76,13.981481481481481,12.5,21.50943396226415,Excelente
38.1,69.3,6.5,23.6,41.6,16.5,1.46,21.851851851851855,27.083333333333336,39.24528301886792,Excelente
41.5,91.3,79.5,93.5,30.0,12.8,1.99,70.05555555555556,163.39199157007377,28.30188679245283,Mala
33.1,99.2,17.6,47.1,41.1,26.4,2.45,43.611111111111114,62.56652360515022,38.77358490566038,Buena
28.2,89.5,44.9,53.9,29.1,12.1,1.29,49.907407407407405,124.14572864321607,27.452830188679247,Regular
33.6,81.2,20.2,30.3,30.2,10.6,1.24,28.055555555555557,68.0343347639485,28.49056603773585,Buena
32.5,53.4,45.9,52.7,27.2,10.8,1.21,48.7962962962963,126.60804020100502,25.660377358490567,Regular
24.5,65.2,8.3,14.3,15.0,5.4,1.0,13.240740740740742,34.583333333333336,14.150943396226415,Excelente
29.2,74.5,19.6,32.3,29.3,7.9,1.46,29.907407407407405,66.77253218884121,27.641509433962266,Buena
36.2,84.9,42.2,72.0,30.9,23.4,1.98,59.41414141414141,117.49748743718594,29.150943396226413,Regular
27.0,50.4,17.4,30.2,19.1,10.5,1.68,27.962962962962962,62.14592274678112,18.018867924528305,Buena
26.2,47.6,16.4,20.2,24.0,9.9,0.85,18.703703703703702,60.042918454935624,22.641509433962263,Buena
24.5,93.6,22.3,31.7,22.4,11.6,1.81,29.35185185185185,72.45064377682404,21.132075471698112,Buena
28.7,64.6,12.1,17.6,14.2,6.2,1.04,16.296296296296298,51.0,13.39622641509434,Buena
24.9,64.4,10.9,15.2,14.0,4.4,1.12,14.074074074074073,45.41666666666667,13.20754716981132,Excelente
38.3,99.0,8.2,27.2,24.9,13.9,2.69,25.185185185185183,34.166666666666664,23.49056603773585,Excelente
25.9,64.2,1.5,10.3,23.6,-0.4,0.93,9.537037037037038,6.25,22.264150943396228,Excelente
22.8,65.1,3.1,10.6,11.1,4.9,0.88,9.814814814814815,12.916666666666668,10.471698113207546,Excelente
32.5,75.1,24.9,36.0,25.8,6.3,1.69,33.333333333333336,77.91845493562232,24.339622641509436,Buena
25.1,59.5,6.0,11.3,25.8,0.7,0.9,10.462962962962964,25.0,24.339622641509436,Excelente
32.9,49.6,24.0,28.5,22.0,8.8,1.64,26.38888888888889,76.02575107296138,20.754716981132077,Buena
28.0,80.2,27.7,28.8,34.3,12.3,1.55,26.666666666666668,83.8068669527897,32.35849056603773,Buena
26.1,48.5,5.3,10.5,18.4,5.0,0.99,9.722222222222221,22.083333333333336,17.358490566037734,Excelente
28.0,90.3,35.4,58.2,41.2,7.9,2.06,52.58383838383838,100.0,38.86792452830189,Buena
37.8,79.1,63.0,85.1,52.6,20.1,2.6,65.8979797979798,154.87249736564806,49.62264150943396,Mala
31.6,102.7,80.5,96.9,35.0,1.7,2.0,71.73838383838384,163.90832455216017,33.0188679245283,Mala
30.4,63.8,12.2,22.1,31.3,15.5,1.7,20.462962962962965,51.21030042918455,29.528301886792455,Buena
25.5,38.3,3.6,8.8,19.1,6.6,1.05,8.148148148148149,15.000000000000002,18.018867924528305,Excelente
36.6,78.5,6.0,25.9,45.5,17.8,1.58,23.98148148148148,25.0,42.924528301886795,Excelente
29.8,60.2,10.7,19.8,24.9,12.4,2.0,18.333333333333336,44.583333333333336,23.49056603773585,Excelente
33.7,96.3,70.8,87.3,32.9,17.0,2.33,66.98686868686869,158.89989462592203,31.037735849056602,Mala
26.2,62.0,79.2,86.0,31.4,7.6,1.46,66.34343434343434,163.23709167544783,29.62264150943396,Mala
27.6,61.5,0.0,4.5,25.1,4.3,1.07,4.166666666666667,0.0,23.67924528301887,Excelente
30.8,60.3,1.1,3.6,21.2,5.1,0.96,3.3333333333333335,4.583333333333334,20.0,Excelente
23.7,51.7,19.1,22.2,24.0,7.0,1.07,20.555555555555554,65.72103004291846,22.641509433962263,Buena
43.1,75.5,6.4,14.2,38.8,11.0,2.24,13.148148148148147,26.66666666666667,36.60377358490566,Excelente
29.1,61.2,12.1,18.5,17.5,5.1,2.03,17.12962962962963,51.0,16.50943396226415,Buena
28.4,48.0,11.1,17.7,15.1,7.6,1.06,16.38888888888889,46.25,14.245283018867925,Excelente
34.5,86.1,9.0,21.6,39.1,7.5,1.79,20.0,37.5,36.88679245283019,Excelente
20.4,52.8,11.7,16.7,24.4,2.3,1.05,15.462962962962962,48.75,23.0188679245283,Excelente
30.9,92.2,10.7,19.0,38.1,9.6,2.55,17.59259259259259,44.583333333333336,35.943396226415096,Excelente
23.4,54.7,10.2,12.8,11.4,4.5,1.13,11.851851851851853,42.5,10.754716981132075,Excelente
28.8,76.6,124.1,135.5,32.0,10.0,2.02,90.84343434343435,186.4204425711275,30.18867924528302,Mala
36.4,80.3,103.0,106.4,26.5,22.3,2.38,76.44040404040405,175.5258166491043,25.0,Mala
29.8,75.8,1.1,19.5,29.7,4.0,1.78,18.055555555555557,4.583333333333334,28.0188679245283,Excelente
24.2,55.9,8.4,10.9,17.2,7.2,0.96,10.092592592592593,35.00000000000001,16.22641509433962,Excelente
32.1,54.6,3.8,13.6,28.1,20.3,1.54,12.592592592592592,15.833333333333334,26.509433962264154,Excelente
31.6,97.6,85.9,101.9,45.0,25.8,1.82,74.21313131313131,166.69652265542678,42.45283018867924,Mala
23.3,42.6,7.4,10.6,23.7,5.2,1.14,9.814814814814815,30.833333333333336,22.358490566037734,Excelente
26.7,100.1,3.9,18.1,30.7,15.5,1.62,16.75925925925926,16.25,28.962264150943398,Excelente
31.3,100.3,7.0,26.4,30.4,20.2,2.19,24.444444444444443,29.166666666666668,28.67924528301887,Excelente
29.6,83.0,4.0,14.1,22.2,3.2,1.05,13.055555555555555,16.666666666666668,20.943396226415093,Excelente
25.3,83.3,33.9,44.0,35.9,9.1,1.41,40.74074074074074,96.84549356223175,33.867924528301884,Buena
26.4,60.3,6.5,13.2,21.8,5.1,0.88,12.222222222222221,27.083333333333336,20.566037735849058,Excelente
23.9,61.4,28.2,40.3,37.0,11.3,1.56,37.31481481481481,84.85836909871244,34.905660377358494,Buena
23.9,61.8,3.2,9.9,18.6,5.2,0.93,9.166666666666668,13.333333333333336,17.547169811320757,Excelente
32.5,71.3,11.8,30.9,26.1,23.5,2.16,28.61111111111111,49.16666666666667,24.622641509433965,Excelente
38.7,71.9,5.4,31.0,50.3,15.6,2.81,28.703703703703702,22.500000000000004,47.45283018867924,Excelente
32.4,83.3,2.3,18.4,30.9,15.1,1.54,17.037037037037035,9.583333333333334,29.150943396226413,Excelente
